"Variable_Name","Variable_Description"
"MultiLab","MultiLab"
"ReplicationProject","ReplicationProject"
"Replication","Replication"
"Replication__Result__T_N","replication level: treatment group_number of participants"
"Replication__Result__C_N","replication level: control group_number of participants"
"Replication__Result__T_M","replication level: treatment group_mean"
"Replication__Result__SE_T_M","replication level: standard error of the_treatment group_mean"
"Replication__Result__C_M","replication level: control group_mean"
"Replication__Result__SE_C_M","replication level: standard error of the_control group_mean"
"Replication__Result__T_SD","replication level: treatment group_standard deviation"
"Replication__Result__SE_T_SD","replication level: standard error of the_treatment group_standard deviation"
"Replication__Result__C_SD","replication level: control group_standard deviation"
"Replication__Result__SE_C_SD","replication level: standard error of the_control group_standard deviation"
"Replication__Result__MD","replication level: mean difference"
"Replication__Result__SE_MD","replication level: standard error of the_mean difference"
"Replication__Result__pooled_SD","replication level: pooled_standard deviation"
"Replication__Result__SE_pooled_SD","replication level: standard error of the_pooled_standard deviation"
"Replication__Result__SMD","replication level: standardized mean difference"
"Replication__Result__SE_SMD","replication level: standard error of the_standardized mean difference"
"MA__Result__K","meta analysis level: number of replications"
"MA__Result__N","meta analysis level: number of participants"
"MA__Est__C_M","meta analysis level: model estimate for_control group_mean"
"MA__Est__T_M","meta analysis level: model estimate for_treatment group_mean"
"MA__Est__C_SD","meta analysis level: model estimate for_control group_standard deviation"
"MA__Est__T_SD","meta analysis level: model estimate for_treatment group_standard deviation"
"MA__Est__pooled_SD","meta analysis level: model estimate for__pooled_standard deviation"
"MA__Est__MD","meta analysis level: model estimate for__mean difference"
"MA__Est__SMD","meta analysis level: model estimate for__standardized mean difference"
"MA__Est__C_M_K","meta analysis level: model estimate for_control group_mean_number of replications"
"MA__Est__T_M_K","meta analysis level: model estimate for_treatment group_mean_number of replications"
"MA__Est__C_SD_K","meta analysis level: model estimate for_control group_standard deviation_number of replications"
"MA__Est__T_SD_K","meta analysis level: model estimate for_treatment group_standard deviation_number of replications"
"MA__Est__pooled_SD_K","meta analysis level: model estimate for__pooled_standard deviation_number of replications"
