"Variable_Name","Variable_Description"
"MultiLab","MultiLab"
"ReplicationProject","ReplicationProject"
"Result__K","Result number of replications"
"Result__N","Result number of participants"
"Est__C_M","Est control group_mean"
"Est__T_M","Est treatment group_mean"
"Est__C_SD","Est control group_standard deviation"
"Est__T_SD","Est treatment group_standard deviation"
"Est__pooled_SD","Est pooled_standard deviation"
"Est__MD","Est mean difference"
"Est__SMD","Est standardized mean difference"
"Est__C_M_K","Est control group_mean_number of replications"
"Est__T_M_K","Est treatment group_mean_number of replications"
"Est__C_SD_K","Est control group_standard deviation_number of replications"
"Est__T_SD_K","Est treatment group_standard deviation_number of replications"
"Est__pooled_SD_K","Est pooled_standard deviation_number of replications"
"Est__MD_K","Est mean difference_number of replications"
"Est__SMD_K","Est standardized mean difference_number of replications"
"Tau2__C_M","Tau2 for control group_mean"
"Tau2__T_M","Tau2 for treatment group_mean"
"Tau2__C_SD","Tau2 for control group_standard deviation"
"Tau2__T_SD","Tau2 for treatment group_standard deviation"
"Tau2__pooled_SD","Tau2 for pooled_standard deviation"
"Tau2__MD","Tau2 for mean difference"
"Tau2__SMD","Tau2 for standardized mean difference"
"Tau__C_M","Tau for control group_mean"
"Tau__T_M","Tau for treatment group_mean"
"Tau__C_SD","Tau for control group_standard deviation"
"Tau__T_SD","Tau for treatment group_standard deviation"
"Tau__pooled_SD","Tau for pooled_standard deviation"
"Tau__MD","Tau for mean difference"
"Tau__SMD","Tau for standardized mean difference"
"CoeffVar__T_M","Coefficient of Variation (tau/mu) for treatment group_mean"
"CoeffVar__C_M","Coefficient of Variation (tau/mu) for control group_mean"
"CoeffVar__T_SD","Coefficient of Variation (tau/mu) for treatment group_standard deviation"
"CoeffVar__C_SD","Coefficient of Variation (tau/mu) for control group_standard deviation"
"CoeffVar__pooled_SD","Coefficient of Variation (tau/mu) for pooled_standard deviation"
"CoeffVar__MD","Coefficient of Variation (tau/mu) for mean difference"
"CoeffVar__SMD","Coefficient of Variation (tau/mu) for standardized mean difference"
"I2__T_M","I2 for treatment group_mean"
"I2__C_M","I2 for control group_mean"
"I2__T_SD","I2 for treatment group_standard deviation"
"I2__C_SD","I2 for control group_standard deviation"
"I2__MD","I2 for mean difference"
"I2__pooled_SD","I2 for pooled_standard deviation"
"I2__SMD","I2 for standardized mean difference"
"H2__T_M","H2 for treatment group_mean"
"H2__C_M","H2 for control group_mean"
"H2__T_SD","H2 for treatment group_standard deviation"
"H2__C_SD","H2 for control group_standard deviation"
"H2__MD","H2 for mean difference"
"H2__pooled_SD","H2 for pooled_standard deviation"
"H2__SMD","H2 for standardized mean difference"
"QE__T_M","QE for treatment group_mean"
"QE__C_M","QE for control group_mean"
"QE__T_SD","QE for treatment group_standard deviation"
"QE__C_SD","QE for control group_standard deviation"
"QE__MD","QE for mean difference"
"QE__pooled_SD","QE for pooled_standard deviation"
"QE__SMD","QE for standardized mean difference"
"QEp__T_M","QEp for treatment group_mean"
"QEp__C_M","QEp for control group_mean"
"QEp__T_SD","QEp for treatment group_standard deviation"
"QEp__C_SD","QEp for control group_standard deviation"
"QEp__MD","QEp for mean difference"
"QEp__pooled_SD","QEp for pooled_standard deviation"
"QEp__SMD","QEp for standardized mean difference"
