MultiLab,ReplicationProject,Replication,DV,Group,Exclusion
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.225081846,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.364549019,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.408453029,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.243154738,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.335688206,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.317330586,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.219324233,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.329980524,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.305296272,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.457667925,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.408511701,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.258086735,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.286234395,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.289693957,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.297513845,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.266541175,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.3048977,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.364648211,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.221051614,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.230332495,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.178475735,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.300452497,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.356965972,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.228408968,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.329362124,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.347754953,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.21602341,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.374430622,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.258847532,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.332804973,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.24313386,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.309971796,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.356726324,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.374559723,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.366617265,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.274857099,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.352248823,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.257591244,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.253452107,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.2861638,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.339533724,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.381731537,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.323565999,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.389386186,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.385205006,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.330861458,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.287579822,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.273115189,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.353612016,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.297450854,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.273818005,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.23835112,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.305308653,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.235170457,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.325782897,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.437860804,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.251102735,1,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.217765558,0,1
RRR4,Sripada,BDEC_Results_Full_Birt.csv,0.193775434,0,1
RRR4,Sripada,BDEC_Results_Full_Brandt.csv,0.230769881,0,1
RRR4,Sripada,BDEC_Results_Full_Brandt.csv,0.356353887,0,1
RRR4,Sripada,BDEC_Results_Full_Brandt.csv,0.196550933,0,1
RRR4,Sripada,BDEC_Results_Full_Brandt.csv,0.263188642,0,1
RRR4,Sripada,BDEC_Results_Full_Brandt.csv,0.405020114,0,1
RRR4,Sripada,BDEC_Results_Full_Brandt.csv,0.280731624,0,1
RRR4,Sripada,BDEC_Results_Full_Brandt.csv,0.457447336,1,1
RRR4,Sripada,BDEC_Results_Full_Brandt.csv,0.320987668,1,1
RRR4,Sripada,BDEC_Results_Full_Brandt.csv,0.281815576,0,1
RRR4,Sripada,BDEC_Results_Full_Brandt.csv,0.241388619,0,1
RRR4,Sripada,BDEC_Results_Full_Brandt.csv,0.207596717,1,1
RRR4,Sripada,BDEC_Results_Full_Brandt.csv,0.220748635,0,1
