Variable_Name,Variable_Description
MultiLab,"The multi-lab in which the meta-analytical-study-collection (The name of the meta-analytical-study-collection (MASC) (or replicated target-effect)) was publicised (e.g., ML2)"
MASC,The name of the meta-analytical-study-collection (MASC) (or replicated target-effect)
Data_Collection_Site,"The data collection site (e.g., lab name) that a data point is associated with"
Site__Summaries__T_N,site level data:  treatment group number of participants
Site__Summaries__C_N,site level data:  control group number of participants
Site__Summaries__T_M,site level data:  treatment group mean
Site__Summaries__SE_T_M,site level data: standard error of the treatment group mean
Site__Summaries__C_M,site level data:  control group mean
Site__Summaries__SE_C_M,site level data: standard error of the control group mean
Site__Summaries__T_SD,site level data:  treatment group standard deviation
Site__Summaries__SE_T_SD,site level data: standard error of the treatment group standard deviation
Site__Summaries__C_SD,site level data:  control group standard deviation
Site__Summaries__SE_C_SD,site level data: standard error of the control group standard deviation
Site__Summaries__MD,site level data: mean difference
Site__Summaries__SE_MD,site level data: standard error of the mean difference
Site__Summaries__pooled_SD,site level data: pooled standard deviation
Site__Summaries__SE_pooled_SD,site level data: standard error of the pooled standard deviation
Site__Summaries__SMD,site level data: standardized mean difference
Site__Summaries__SE_SMD,site level data: standard error of the standardized mean difference
MA__Result__K,MASC level data: number of data collection sites
MA__Result__N,MASC level data: number of participants
MA__Est__MD,MASC level data: model estimate for mean difference
MA__Est__SMD,MASC level data: model estimate for standardized mean difference
MA__pval_Est__MD,MASC level data: p-value of model estimate for mean difference
MA__pval_Est__SMD,MASC level data: p-value of model estimate for standardized mean difference
MA__Est__MD_K,MASC level data: model estimate for mean difference number of data collection sites
MA__Est__SMD_K,MASC level data: model estimate for standardized mean difference number of data collection sites
MA__Tau2__MD,MASC level data: Tau2 for mean difference
MA__Tau2__SMD,MASC level data: Tau2 for standardized mean difference
MA__Tau__MD,MASC level data: Tau for mean difference
MA__Tau__SMD,MASC level data: Tau for standardized mean difference
MA__CoeffVar__MD,MASC level data: Coefficient of Variation (tau/model est) for mean difference
MA__CoeffVar__SMD,MASC level data: Coefficient of Variation (tau/model est) for standardized mean difference
MA__I2__MD,MASC level data: I2 for mean difference
MA__I2__SMD,MASC level data: I2 for standardized mean difference
MA__H2__MD,MASC level data: H2 for mean difference
MA__H2__SMD,MASC level data: H2 for standardized mean difference
MA__QE__MD,MASC level data: QE for mean difference
MA__QE__SMD,MASC level data: QE for standardized mean difference
MA__QEp__MD,MASC level data: QEp for mean difference
MA__QEp__SMD,MASC level data: QEp for standardized mean difference
