Variable_Name,Variable_Description
MultiLab,MultiLab
ReplicationProject,ReplicationProject
Replication,Replication
T_N,treatment group number of participants
C_N,control group number of participants
T_M,treatment group mean
SE_T_M,standard error of the treatment group mean
C_M,control group mean
SE_C_M,standard error of the control group mean
T_SD,treatment group standard deviation
SE_T_SD,standard error of the treatment group standard deviation
T_lnSD,treatment group log transformed standard deviation
SE_T_lnSD,standard error of the treatment group log transformed standard deviation
C_SD,control group standard deviation
SE_C_SD,standard error of the control group standard deviation
C_lnSD,control group log transformed standard deviation
SE_C_lnSD,standard error of the control group log transformed standard deviation
MD,mean difference
SE_MD,standard error of the mean difference
pooled_SD,replication level:  standard deviation
SE_pooled_SD,standard error of the replication level:  standard deviation
SMD,standardized mean difference
SE_SMD,standard error of the standardized mean difference
