Variable_Name,Variable_Description
MultiLab,MultiLab
ReplicationProject,ReplicationProject
Replication,Replication
Replication__Result__T_N,replication level: treatment group_number of participants
Replication__Result__C_N,replication level: control group_number of participants
Replication__Result__T_M,replication level: treatment group_mean
Replication__Result__SE_T_M,replication level: standard error of the_treatment group_mean
Replication__Result__C_M,replication level: control group_mean
Replication__Result__SE_C_M,replication level: standard error of the_control group_mean
Replication__Result__T_SD,replication level: treatment group_standard deviation
Replication__Result__SE_T_SD,replication level: standard error of the_treatment group_standard deviation
Replication__Result__C_SD,replication level: control group_standard deviation
Replication__Result__SE_C_SD,replication level: standard error of the_control group_standard deviation
Replication__Result__MD,replication level: mean difference
Replication__Result__SE_MD,replication level: standard error of the_mean difference
Replication__Result__pooled_SD,replication level: pooled_standard deviation
Replication__Result__SE_pooled_SD,replication level: standard error of the_pooled_standard deviation
Replication__Result__SMD,replication level: standardized mean difference
Replication__Result__SE_SMD,replication level: standard error of the_standardized mean difference
MA__Result__K,meta analysis level: number of replications
MA__Result__N,meta analysis level: number of participants
MA__Est__MD,meta analysis level: model estimate for__mean difference
MA__Est__SMD,meta analysis level: model estimate for__standardized mean difference
MA__Est__MD_K,meta analysis level: model estimate for__mean difference_number of replications
MA__Est__SMD_K,meta analysis level: model estimate for__standardized mean difference_number of replications
MA__Tau2__MD,meta analysis level: Tau2 for__mean difference
MA__Tau2__SMD,meta analysis level: Tau2 for__standardized mean difference
MA__Tau__MD,meta analysis level: Tau for__mean difference
MA__Tau__SMD,meta analysis level: Tau for__standardized mean difference
MA__CoeffVar__MD,meta analysis level: Coefficient of Variation (tau/model_est) for__mean difference
MA__CoeffVar__SMD,meta analysis level: Coefficient of Variation (tau/model_est) for__standardized mean difference
MA__I2__MD,meta analysis level: I2 for__mean difference
MA__I2__SMD,meta analysis level: I2 for__standardized mean difference
MA__H2__MD,meta analysis level: H2 for__mean difference
MA__H2__SMD,meta analysis level: H2 for__standardized mean difference
MA__QE__MD,meta analysis level: QE for__mean difference
MA__QE__SMD,meta analysis level: QE for__standardized mean difference
MA__QEp__MD,meta analysis level: QEp for__mean difference
MA__QEp__SMD,meta analysis level: QEp for__standardized mean difference
