"","Variable_Name","Variable_Description"
"1","MultiLab","The multi-lab in which the meta-analytical-study-collection (The name of the meta-analytical-study-collection (MASC) (or replicated target-effect)) was publicised (e.g., ML2)"
"2","MASC","The name of the meta-analytical-study-collection (MASC) (or replicated target-effect)"
"3","Data_Collection_Site","The data collection site (e.g., lab name) that a data point is associated with"
"4","Site__Summaries__T_N","site level data:  treatment group number of participants"
"5","Site__Summaries__C_N","site level data:  control group number of participants"
"6","Site__Summaries__T_M","site level data:  treatment group mean"
"7","Site__Summaries__SE_T_M","site level data: standard error of the treatment group mean"
"8","Site__Summaries__C_M","site level data:  control group mean"
"9","Site__Summaries__SE_C_M","site level data: standard error of the control group mean"
"10","Site__Summaries__T_SD","site level data:  treatment group standard deviation"
"11","Site__Summaries__SE_T_SD","site level data: standard error of the treatment group standard deviation"
"12","Site__Summaries__C_SD","site level data:  control group standard deviation"
"13","Site__Summaries__SE_C_SD","site level data: standard error of the control group standard deviation"
"14","Site__Summaries__MD","site level data: mean difference"
"15","Site__Summaries__SE_MD","site level data: standard error of the mean difference"
"16","Site__Summaries__pooled_SD","site level data: pooled standard deviation"
"17","Site__Summaries__SE_pooled_SD","site level data: standard error of the pooled standard deviation"
"18","Site__Summaries__SMD","site level data: standardized mean difference"
"19","Site__Summaries__SE_SMD","site level data: standard error of the standardized mean difference"
"20","MA__Result__K","MASC level data: number of data collection sites"
"21","MA__Result__N","MASC level data: number of participants"
"22","MA__Est__MD","MASC level data: model estimate for mean difference"
"23","MA__Est__SMD","MASC level data: model estimate for standardized mean difference"
"24","MA__pval_Est__MD","MASC level data: p-value of model estimate for mean difference"
"25","MA__pval_Est__SMD","MASC level data: p-value of model estimate for standardized mean difference"
"26","MA__Est__MD_K","MASC level data: model estimate for mean difference number of data collection sites"
"27","MA__Est__SMD_K","MASC level data: model estimate for standardized mean difference number of data collection sites"
"28","MA__Tau2__MD","MASC level data: Tau2 for mean difference"
"29","MA__Tau2__SMD","MASC level data: Tau2 for standardized mean difference"
"30","MA__Tau__MD","MASC level data: Tau for mean difference"
"31","MA__Tau__SMD","MASC level data: Tau for standardized mean difference"
"32","MA__CoeffVar__MD","MASC level data: Coefficient of Variation (tau/model est) for mean difference"
"33","MA__CoeffVar__SMD","MASC level data: Coefficient of Variation (tau/model est) for standardized mean difference"
"34","MA__I2__MD","MASC level data: I2 for mean difference"
"35","MA__I2__SMD","MASC level data: I2 for standardized mean difference"
"36","MA__H2__MD","MASC level data: H2 for mean difference"
"37","MA__H2__SMD","MASC level data: H2 for standardized mean difference"
"38","MA__QE__MD","MASC level data: QE for mean difference"
"39","MA__QE__SMD","MASC level data: QE for standardized mean difference"
"40","MA__QEp__MD","MASC level data: QEp for mean difference"
"41","MA__QEp__SMD","MASC level data: QEp for standardized mean difference"
